# openset_names closet_names likelihood_matrix
wall,tile wall,floor,carpet,cabinet,closet,file cabinet,bed,dresser,chair,armchair,swivel chair,couch,table,side table,round table,kitchen table,door,glass door,window,bookshelf,shelf,picture,picture frame,poster,counter top,kitchen counter,computer desk,office desk,curtain,fridge,shower curtain,toilet bowl,sink,bathroom sink,bath,tub,bin
wall,floor,cabinet,bed,chair,sofa,table,door,window,bookshelf,picture,counter,desk,curtain,refrigerator,shower curtain,toilet,sink,bathtub,otherfurniture
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.001482,0.000000,0.146021,0.000000,0.000000,0.000000,0.000000,0.000000,0.023519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.041309,0.000000,0.022602,0.000000,0.000000,0.000000,0.000000,0.321690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010685
0.007111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033882,0.025441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007158,0.336141,0.000000,0.000000,0.000000,0.000000,0.055282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025842,0.000000,0.043706,0.000000,0.000000,0.000000,0.005226,0.000000,0.000000,0.622479,0.000000,0.000000,0.075105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018120
0.030105,0.000000,0.055712,0.000000,0.000000,0.000000,0.000000,0.008287,0.000000,0.432767,0.000000,0.000000,0.026736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021360
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.045695,0.000000,0.000000,0.000000,0.008059,0.000000,0.000000,0.000000,0.000000,0.536332,0.000000,0.000000,0.000000,0.000000,0.000000,0.063300,0.000000,0.000000
0.000000,0.000000,0.029269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.506114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003906,0.057221,0.000000,0.003223,0.000000,0.165106,0.000000,0.000000,0.000000,0.000000,0.028585,0.603372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018662
0.000000,0.003917,0.039822,0.000000,0.000000,0.000000,0.129846,0.000000,0.000000,0.000000,0.000000,0.000000,0.398751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.028696,0.000000,0.015369,0.000000,0.000000,0.000000,0.000000,0.008345,0.021142,0.000000,0.000000,0.000000,0.000000,0.663413,0.000000,0.664545,0.000000,0.000000,0.000000,0.007796
0.014792,0.000000,0.010071,0.000000,0.000000,0.000000,0.000000,0.017180,0.000000,0.017153,0.000000,0.000000,0.000000,0.000000,0.460342,0.000000,0.000000,0.000000,0.000000,0.000000
0.008267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044914,0.000000,0.765570,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948199,0.000000,0.000000,0.008644
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.670517,0.000000,0.000000
0.000000,0.000000,0.022246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343074,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.757643,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.659859,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.292872
